,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
224,Pune,2016, Honda City,SV MT PETROL Manual,"₹6,71,299","69,887 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2016-cars-pune-10623291716/
225,Pune,2018, Volkswagen Polo,COMFORTLINE 1.0 PETROL Manual,"₹6,09,999","21,612 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-pune-10650594717/
226,Pune,2014, Honda Amaze,1.2 SMT I VTEC Manual,"₹4,72,499","36,235 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2014-cars-pune-1068692665/
227,Pune,2016, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹4,69,099","27,898 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-pune-1061835809/
228,Pune,2017, Honda Brio,1.2 VX AT I VTEC Automatic,"₹6,32,999","18,396 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-brio-2017-cars-pune-10684393710/
229,Pune,2019, Maruti New  Wagon-R,VXI 1.2L Manual,"₹5,88,799","9,908 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2019-cars-pune-1066326262/
230,Pune,2016, Hyundai Elite i,ASTA 1.2 (O) Manual,"₹6,65,799","31,157 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-pune-1067616560/
231,Pune,2020, Maruti New  Wagon-R,ZXI 1.2 Manual,"₹5,93,603","76,343 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-pune-10608095799/
232,Pune,2019, Hyundai Elite i,1.2 SPORTS PLUS VTVT Manual,"₹7,15,999","13,566 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-pune-1063123407/
233,Pune,2019, Maruti Vitara Brezza,ZDI PLUS Manual,"₹10,21,299","57,806 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-mumbai-1039536465/
234,Pune,2015, Hyundai Grand i,ASTA 1.2 KAPPA VTVT Manual,"₹4,90,999","12,627 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-pune-1061862902/
235,Pune,2017, Maruti Celerio,ZXI AMT Automatic,"₹4,83,799","52,807 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-pune-10616198794/
236,Pune,2019, Renault TRIBER,1.0 RXT Manual,"₹6,78,599","8,712 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2019-cars-pune-10602591710/
237,Pune,2019, Hyundai Elite i,1.2 SPORTS PLUS VTVT Manual,"₹7,11,649","32,859 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-pune-1066114800/
238,Pune,2014, Ford Ecosport,1.5 TREND TDCI Manual,"₹5,16,599","57,520 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-pune-1036039865/
239,Pune,2020, KIA SELTOS,1.5 GTX+ AT Automatic,"₹18,90,099","7,855 km",1st Owner,Diesel,https://www.cars24.com/buy-used-kia-seltos-2020-cars-pune-10607694773/
240,Pune,2020, Hyundai VENUE,1.0L Turbo GDI SX MT Manual,"₹9,99,699","25,005 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-mumbai-1035466263/
241,Pune,2015, Hyundai Elite i,ASTA 1.2 Manual,"₹5,31,299","75,263 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-pune-1031351600/
242,Pune,2018, Maruti Vitara Brezza,ZDI+ DUAL TONE AMT Automatic,"₹10,09,199","32,665 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-pune-1068885965/
243,Pune,2018, Maruti Wagon R .,VXI Manual,"₹4,77,199","16,432 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-pune-10641395797/
244,Pune,2019, Hyundai Elite i,1.2 MAGNA PLUS VTVT Manual,"₹6,99,699","16,160 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-pune-1069242862/
245,Pune,2016, Skoda Superb,1.8 TSI LK AT Automatic,"₹17,74,499","23,893 km",1st Owner,Petrol,https://www.cars24.com/buy-used-skoda-superb-2016-cars-pune-1034043622/
246,Pune,2017, Maruti Vitara Brezza,ZDI Manual,"₹7,53,399","33,515 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-pune-1037789801/
247,Pune,2017, Maruti IGNIS,ZETA 1.2 K12 DUAL TONE Manual,"₹5,66,049","20,478 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-pune-10626394799/
248,Pune,2019, Maruti Vitara Brezza,ZDI + AMT Automatic,"₹9,06,899","70,241 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-pune-1067805541/
249,Pune,2017, Maruti Ciaz,VXI PLUS Manual,"₹6,86,299","20,254 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-1031517964/
250,Pune,2017, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,24,599","50,905 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-10302494771/
251,Pune,2018, Maruti Dzire,VXI Manual,"₹7,04,199","30,817 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-mumbai-1033120665/
252,Pune,2017, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,09,099","35,584 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-1065144369/
253,Pune,2020, Maruti Vitara Brezza,ZXI Manual,"₹8,87,999","24,130 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-pune-1039244606/
254,Pune,2020, Honda City,ZX CVT Automatic,"₹14,68,599","9,911 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2020-cars-pune-1068634467/
255,Pune,2017, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹5,76,999","17,484 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-pune-10695998710/
256,Pune,2018, Hyundai NEW SANTRO,SPORTZ 1.1 Manual,"₹4,94,199","29,668 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2018-cars-pune-1061388860/
257,Pune,2017, Volkswagen Polo,GT TSI 1.2 PETROL AT Automatic,"₹8,07,199","26,912 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2017-cars-pune-1038247645/
258,Pune,2017, Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹8,01,399","69,721 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-pune-1030592808/
259,Pune,2020, Maruti S PRESSO,VXI PLUS AGS Automatic,"₹5,35,799","3,301 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2020-cars-pune-1030949979/
